epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6256,1.60139,1.94867,1.37386,0.56903,0.54005,0.55203,0.34326,1.17513,1.14223,1.13201,0.000466612,0.000466612,0.000466612
2,58.5722,1.26107,0.97496,1.10204,0.5301,0.61132,0.55917,0.3581,1.10554,1.10299,1.14805,0.000939834,0.000939834,0.000939834
3,90.0666,1.20784,0.86204,1.07529,0.87515,0.54196,0.66559,0.40702,1.15352,0.98053,1.17801,0.00140991,0.00140991,0.00140991
4,123.051,1.21169,0.83284,1.07769,0.84168,0.64223,0.71323,0.46488,1.1169,0.87881,1.19133,0.00141485,0.00141485,0.00141485
5,154.234,1.19042,0.79165,1.07877,0.83605,0.66918,0.74942,0.48912,1.08419,0.68872,1.16718,0.00141014,0.00141014,0.00141014
6,186.947,1.16921,0.7729,1.05928,0.84937,0.68874,0.77447,0.49357,1.03251,0.81225,1.12033,0.00140542,0.00140542,0.00140542
7,218.657,1.15593,0.74403,1.05734,0.83786,0.74934,0.80016,0.52325,1.06492,0.64087,1.10487,0.00140071,0.00140071,0.00140071
8,250.878,1.16397,0.70183,1.03658,0.82788,0.73622,0.80184,0.52594,1.02952,0.66423,1.11314,0.00139599,0.00139599,0.00139599
9,282.541,1.1264,0.69454,1.03422,0.78372,0.75404,0.79229,0.52527,1.00281,0.6394,1.08186,0.00139127,0.00139127,0.00139127
10,312.242,1.11604,0.67791,1.03562,0.89778,0.77215,0.83811,0.5637,0.97487,0.62997,1.06191,0.00138656,0.00138656,0.00138656
11,343.601,1.11391,0.66893,1.03481,0.87886,0.7791,0.8228,0.5561,0.99199,0.61352,1.05789,0.00138184,0.00138184,0.00138184
12,374.813,1.11522,0.66098,1.03937,0.8357,0.75658,0.83152,0.56565,0.98872,0.58059,1.05811,0.00137713,0.00137713,0.00137713
13,406.493,1.09728,0.66102,1.02895,0.83713,0.75521,0.80496,0.54123,1.01143,0.5536,1.07081,0.00137241,0.00137241,0.00137241
14,436.447,1.09055,0.63532,1.02592,0.91528,0.77068,0.8631,0.58653,0.98709,0.54109,1.06102,0.0013677,0.0013677,0.0013677
15,468.437,1.11232,0.64434,1.02197,0.87842,0.8175,0.88607,0.6076,0.94449,0.54605,1.03837,0.00136298,0.00136298,0.00136298
16,500.005,1.07713,0.6269,1.01452,0.88058,0.77774,0.84367,0.56846,0.98439,0.56941,1.07571,0.00135826,0.00135826,0.00135826
17,530.512,1.07534,0.63113,1.01273,0.87323,0.84323,0.87441,0.60457,0.91852,0.5335,1.02748,0.00135355,0.00135355,0.00135355
18,560.76,1.07009,0.61067,1.01367,0.94339,0.77429,0.87972,0.5929,0.94548,0.52659,1.03192,0.00134883,0.00134883,0.00134883
19,590.497,1.07521,0.60429,1.01439,0.90455,0.79465,0.88151,0.60206,0.96243,0.54037,1.05129,0.00134412,0.00134412,0.00134412
20,620.587,1.05803,0.59069,1.00088,0.91097,0.78884,0.86646,0.60328,0.93281,0.52445,1.01894,0.0013394,0.0013394,0.0013394
21,650.685,1.06346,0.60043,1.00233,0.91235,0.8092,0.88364,0.60889,0.92491,0.51329,1.0285,0.00133469,0.00133469,0.00133469
22,683.483,1.04397,0.57583,0.99564,0.87469,0.80881,0.86679,0.59625,0.9451,0.49452,1.03375,0.00132997,0.00132997,0.00132997
23,713.032,1.0383,0.57299,0.99752,0.95053,0.84298,0.91306,0.62685,0.95269,0.50333,1.0422,0.00132525,0.00132525,0.00132525
24,744.958,1.03687,0.57536,0.98928,0.93272,0.80862,0.885,0.61216,0.93912,0.53207,1.03374,0.00132054,0.00132054,0.00132054
25,775.131,1.01747,0.55935,0.99257,0.95625,0.80514,0.90977,0.6224,0.91702,0.47644,1.02596,0.00131582,0.00131582,0.00131582
26,804.836,1.02785,0.57079,0.98497,0.91435,0.85337,0.92527,0.66163,0.89733,0.4723,1.00575,0.00131111,0.00131111,0.00131111
27,837.947,1.01193,0.55355,0.97723,0.92014,0.82675,0.89472,0.62141,0.92637,0.48049,1.03865,0.00130639,0.00130639,0.00130639
28,867.776,1.03476,0.56239,0.98333,0.93152,0.83708,0.91444,0.64018,0.90787,0.46874,1.00914,0.00130168,0.00130168,0.00130168
29,898.332,1.02041,0.54838,0.98081,0.9466,0.83683,0.9223,0.65431,0.8788,0.46089,0.99553,0.00129696,0.00129696,0.00129696
30,928.131,1.00881,0.54488,0.97886,0.94024,0.8724,0.9333,0.65787,0.88306,0.46444,0.99174,0.00129224,0.00129224,0.00129224
31,957.938,0.98735,0.526,0.97192,0.90639,0.8873,0.92904,0.65363,0.87682,0.45469,0.9868,0.00128753,0.00128753,0.00128753
32,987.816,0.9848,0.53142,0.97286,0.95881,0.8889,0.93162,0.65298,0.88054,0.45175,0.99303,0.00128281,0.00128281,0.00128281
33,1018.29,1.00294,0.54009,0.98116,0.90905,0.85002,0.90754,0.62952,0.89388,0.47208,1.00327,0.0012781,0.0012781,0.0012781
34,1048.23,0.98493,0.53861,0.98347,0.94056,0.82779,0.90289,0.62559,0.91141,0.48264,1.00268,0.00127338,0.00127338,0.00127338
35,1078.78,1.00254,0.54612,0.98415,0.92743,0.86065,0.91958,0.6586,0.85353,0.45034,0.98562,0.00126867,0.00126867,0.00126867
36,1108.71,0.97897,0.525,0.96727,0.94115,0.85542,0.92706,0.65399,0.89382,0.47098,1.01409,0.00126395,0.00126395,0.00126395
37,1139.26,0.98855,0.53079,0.97953,0.94799,0.87004,0.92534,0.64077,0.91028,0.45934,1.00721,0.00125923,0.00125923,0.00125923
38,1169.55,1.02217,0.54935,0.98067,0.92294,0.84126,0.90011,0.63505,0.87283,0.47935,1.00131,0.00125452,0.00125452,0.00125452
39,1198.86,0.96791,0.51538,0.96555,0.93028,0.85202,0.92252,0.66711,0.85405,0.44226,0.98587,0.0012498,0.0012498,0.0012498
40,1231.19,0.98816,0.53342,0.97149,0.93127,0.88419,0.92886,0.6376,0.88703,0.44886,1.00402,0.00124509,0.00124509,0.00124509
41,1261.53,0.97794,0.52139,0.97043,0.93454,0.89752,0.93284,0.67575,0.83251,0.42912,0.97015,0.00124037,0.00124037,0.00124037
42,1293.55,0.97187,0.51514,0.96875,0.95809,0.89615,0.93743,0.67175,0.83135,0.41891,0.97146,0.00123566,0.00123566,0.00123566
43,1324.42,0.95971,0.50616,0.95905,0.9481,0.86934,0.9352,0.66996,0.85854,0.42211,0.97832,0.00123094,0.00123094,0.00123094
44,1356.05,0.97717,0.51151,0.96377,0.94923,0.88813,0.94133,0.65866,0.88271,0.4266,0.99345,0.00122622,0.00122622,0.00122622
45,1386.47,0.97078,0.49982,0.95503,0.94461,0.85903,0.93207,0.66923,0.85237,0.43146,0.9868,0.00122151,0.00122151,0.00122151
46,1415.84,0.94743,0.49974,0.94853,0.95161,0.88143,0.9387,0.67805,0.8243,0.41152,0.96238,0.00121679,0.00121679,0.00121679
47,1448.12,0.97787,0.51649,0.96781,0.9424,0.89706,0.93131,0.67193,0.83018,0.41675,0.96784,0.00121208,0.00121208,0.00121208
48,1477.86,0.95379,0.49381,0.96307,0.94338,0.86996,0.93948,0.69992,0.81478,0.40823,0.96251,0.00120736,0.00120736,0.00120736
49,1510.13,0.93857,0.49331,0.95852,0.94932,0.8854,0.9353,0.68194,0.81804,0.41673,0.96011,0.00120265,0.00120265,0.00120265
50,1540.63,0.96053,0.499,0.95229,0.92138,0.91277,0.94238,0.68438,0.80227,0.41229,0.94978,0.00119793,0.00119793,0.00119793
51,1570.79,0.93518,0.49364,0.95703,0.94591,0.89419,0.9484,0.68877,0.83946,0.41353,0.97116,0.00119322,0.00119322,0.00119322
52,1600.62,0.94348,0.49158,0.95439,0.96161,0.89101,0.94157,0.69063,0.82065,0.41996,0.96097,0.0011885,0.0011885,0.0011885
53,1630.99,0.93429,0.49581,0.95435,0.96075,0.89511,0.93878,0.68841,0.81592,0.40924,0.97349,0.00118378,0.00118378,0.00118378
54,1660.94,0.94397,0.49381,0.95526,0.9515,0.89938,0.94942,0.69687,0.79898,0.40632,0.95447,0.00117907,0.00117907,0.00117907
55,1691.96,0.9462,0.48919,0.94976,0.95722,0.89897,0.93991,0.67064,0.85981,0.43413,0.98262,0.00117435,0.00117435,0.00117435
56,1722.85,0.92382,0.47578,0.94675,0.96436,0.8836,0.94578,0.70337,0.80626,0.39735,0.95686,0.00116964,0.00116964,0.00116964
57,1754.38,0.94162,0.48283,0.95298,0.94071,0.90206,0.94116,0.69141,0.81457,0.41247,0.95741,0.00116492,0.00116492,0.00116492
58,1784.75,0.9315,0.47885,0.94892,0.96305,0.90238,0.94754,0.70702,0.79001,0.39016,0.94702,0.00116021,0.00116021,0.00116021
59,1817.04,0.9198,0.47074,0.9435,0.97709,0.8984,0.95112,0.68822,0.79992,0.39115,0.95261,0.00115549,0.00115549,0.00115549
60,1848.01,0.90664,0.4697,0.93823,0.93033,0.88929,0.93683,0.68906,0.80626,0.39536,0.95981,0.00115077,0.00115077,0.00115077
61,1879.37,0.89922,0.46862,0.94522,0.96573,0.88746,0.93894,0.69473,0.76955,0.38968,0.93989,0.00114606,0.00114606,0.00114606
62,1909.04,0.92862,0.48253,0.94136,0.97197,0.88161,0.94081,0.68249,0.80946,0.40158,0.94437,0.00114134,0.00114134,0.00114134
63,1939.1,0.89909,0.45598,0.93533,0.94335,0.91504,0.94437,0.70552,0.78653,0.37742,0.94251,0.00113663,0.00113663,0.00113663
64,1969.14,0.8937,0.45385,0.9354,0.97134,0.91047,0.94959,0.70429,0.76057,0.37627,0.93041,0.00113191,0.00113191,0.00113191
65,1999.72,0.89694,0.46896,0.9387,0.94698,0.88067,0.95153,0.716,0.77287,0.39251,0.93122,0.0011272,0.0011272,0.0011272
